Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3,Area
1045,MC_SC_17_s01R_414,22,5,4,False,False,False,True,False,0,28,31,0,1,3,0,1,4,2,3,2,6,2171.0
1049,MC_SC_17_s01R_415,22,8,5,False,False,False,True,False,0,28,35,0,8,0,3,3,0,0,1,2,7,1446.0
1055,MC_SC_17_s01R_416,23,5,4,False,False,False,True,False,2,13,5,0,1,0,1,0,0,0,0,3,0,1947.0
1057,MC_SC_17_s01R_417,23,4,3,False,False,False,True,False,1,29,13,0,20,3,0,2,1,0,6,6,1,1566.0
1058,MC_SC_17_s01R_418,23,7,4,False,False,False,True,False,3,56,18,0,98,0,0,1,4,12,5,6,2,4410.0
1059,MC_SC_17_s01R_419,23,5,2,False,False,False,True,False,0,14,26,0,4,0,0,0,0,2,4,3,5,2837.0
1060,MC_SC_17_s01R_420,23,5,3,False,False,True,False,False,0,23,1,16,47,1,0,0,2,1,5,2,1,2018.0
1061,MC_SC_17_s01R_421,23,4,2,False,False,False,True,False,0,23,4,0,1,1,2,0,1,0,2,0,6,2197.0
1062,MC_SC_17_s01R_422,23,5,4,False,False,True,False,False,44,13,8,1,52,1,2,2,1,15,3,0,0,2218.0
1063,MC_SC_17_s01R_423,23,5,3,False,False,False,True,False,0,23,10,0,43,3,5,3,2,8,8,3,0,2828.0
1064,MC_SC_17_s01R_424,23,7,5,False,False,False,True,False,0,19,24,0,0,3,1,0,1,0,2,1,5,3762.0
1067,MC_SC_17_s01R_425,23,4,3,False,False,True,False,False,42,10,9,1,9,0,5,0,2,2,5,0,4,1029.0
1068,MC_SC_17_s01R_426,23,4,3,False,False,False,True,False,0,21,10,0,3,0,2,0,0,0,0,0,2,1860.0
1070,MC_SC_17_s01R_427,23,6,3,False,False,True,False,False,0,13,2,1,45,1,8,3,2,12,7,1,5,2021.0
