Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3,Area
233,MC_SC_17_s03L_142,7,5,3,False,False,False,False,True,117,4,44,0,16,0,6,0,0,11,0,30,13,2816.0
234,MC_SC_17_s03L_143,7,5,3,False,False,True,True,False,4,23,29,0,118,2,1,1,2,140,9,3,1,5197.0
239,MC_SC_17_s03L_144,7,3,2,False,False,True,False,False,14,1,0,0,17,0,1,0,0,0,1,3,0,1209.0
240,MC_SC_17_s03L_145,7,5,2,False,False,False,True,False,2,3,30,0,61,1,5,1,2,46,7,1,3,4675.0
241,MC_SC_17_s03L_146,7,3,2,False,False,True,True,False,15,0,4,0,3,0,4,0,0,1,1,0,1,858.0
242,MC_SC_17_s03L_147,7,3,2,False,False,True,False,False,1,0,13,6,16,1,7,1,0,3,0,2,1,1829.0
243,MC_SC_17_s03L_148,7,3,3,False,False,False,True,False,1,5,9,9,37,1,18,1,3,23,2,0,5,1996.0
245,MC_SC_17_s03L_149,7,5,3,False,False,True,False,False,0,3,1,9,1,0,19,0,0,0,0,0,0,624.0
246,MC_SC_17_s03L_150,7,4,3,False,False,False,True,False,1,3,6,0,9,0,1,2,0,2,0,2,3,2538.0
248,MC_SC_17_s03L_151,7,3,1,False,False,True,False,False,1,0,6,1,46,1,19,1,3,30,5,1,0,1533.0
250,MC_SC_17_s03L_152,7,4,3,False,False,True,False,False,0,0,8,0,33,6,1,2,3,38,2,2,4,1978.0
251,MC_SC_17_s03L_153,7,3,1,False,False,True,False,False,21,2,4,1,62,0,28,2,1,11,1,3,1,1140.0
252,MC_SC_17_s03L_154,7,4,3,False,False,True,False,False,26,3,0,0,9,0,1,1,0,4,1,0,2,790.0
254,MC_SC_17_s03L_155,7,3,2,False,False,True,False,False,27,4,1,0,5,0,7,2,0,5,0,2,3,832.0
256,MC_SC_17_s03L_156,7,5,3,False,False,True,False,False,34,2,11,0,1,3,2,3,1,17,1,4,5,1144.0
258,MC_SC_17_s03L_157,7,3,2,False,False,True,False,False,19,0,0,0,7,2,0,0,3,8,0,0,2,897.0
259,MC_SC_17_s03L_158,7,3,2,False,True,True,False,False,19,1,6,0,9,0,8,1,1,13,0,1,6,842.0
260,MC_SC_17_s03L_159,7,2,2,False,False,True,False,False,53,2,3,0,23,0,3,2,1,2,2,1,1,1254.0
261,MC_SC_17_s03L_160,7,5,3,False,False,False,True,False,2,34,2,0,4,18,11,2,4,95,7,1,2,2350.0
262,MC_SC_17_s03L_161,7,4,2,False,False,True,False,False,0,3,3,2,2,0,0,3,2,38,2,0,0,1214.0
264,MC_SC_17_s03L_162,7,7,4,False,False,False,True,False,1,36,4,0,2,11,8,0,4,80,6,1,1,1997.0
265,MC_SC_17_s03L_163,7,4,3,False,False,False,True,False,0,6,12,0,4,3,10,1,2,58,1,1,2,1698.0
266,MC_SC_17_s03L_164,7,3,1,False,False,True,False,False,27,4,11,0,47,0,5,0,0,12,2,0,0,1243.0
267,MC_SC_17_s03L_165,7,5,3,False,False,True,False,False,0,21,12,1,92,3,4,0,0,43,2,0,1,2513.0
268,MC_SC_17_s03L_166,7,4,2,False,False,False,True,False,0,13,3,0,1,1,16,1,2,4,2,0,1,1548.0
269,MC_SC_17_s03L_167,7,7,3,False,False,True,False,False,0,7,7,0,13,0,9,2,0,28,2,2,0,807.0
271,MC_SC_17_s03L_168,7,4,2,False,False,True,False,False,3,4,1,0,2,4,1,0,2,1,1,2,0,1193.0
273,MC_SC_17_s03L_169,7,5,4,False,False,True,False,False,0,12,5,0,2,0,4,2,0,3,0,0,1,1215.0
274,MC_SC_17_s03L_170,7,5,3,False,False,False,True,False,0,23,7,0,11,7,21,0,1,7,4,0,1,2359.0
276,MC_SC_17_s03L_171,7,3,2,False,False,True,False,False,17,0,0,0,6,0,3,0,0,1,0,0,3,783.0
277,MC_SC_17_s03L_172,7,4,3,False,False,True,False,False,0,24,7,0,19,0,3,1,4,15,1,1,0,1973.0
278,MC_SC_17_s03L_173,7,4,3,False,False,True,False,False,36,11,4,0,27,0,11,0,0,10,1,3,3,1123.0
279,MC_SC_17_s03L_174,7,5,2,False,False,True,False,False,0,6,6,0,27,0,11,0,0,6,2,1,0,2997.0
280,MC_SC_17_s03L_175,7,6,3,False,False,False,True,False,3,19,5,0,6,8,9,0,3,5,3,2,2,2432.0
281,MC_SC_17_s03L_176,7,7,4,False,False,False,True,False,3,11,15,0,85,0,3,3,1,4,4,1,0,4843.0
284,MC_SC_17_s03L_177,7,5,3,False,False,False,True,False,0,9,15,0,5,5,5,2,7,3,3,1,1,1510.0
285,MC_SC_17_s03L_178,7,3,2,False,False,False,True,False,0,2,1,0,6,8,20,0,0,35,1,0,1,1547.0
286,MC_SC_17_s03L_179,7,2,2,False,False,False,True,False,1,2,3,1,1,0,5,1,0,4,1,5,6,800.0
287,MC_SC_17_s03L_180,7,6,4,False,False,False,True,False,0,4,0,0,8,0,1,0,8,0,0,12,1,1638.0
288,MC_SC_17_s03L_181,7,3,2,False,False,False,True,False,0,0,6,0,3,0,6,0,0,0,0,0,1,621.0
289,MC_SC_17_s03L_182,7,5,3,False,False,True,False,False,3,6,4,13,67,0,17,1,0,54,1,2,0,1823.0
290,MC_SC_17_s03L_183,7,5,3,False,False,True,False,False,67,7,5,0,45,0,13,2,4,37,1,2,2,1694.0
292,MC_SC_17_s03L_184,7,5,4,False,False,True,False,False,0,12,3,0,6,0,1,1,1,46,1,0,0,1312.0
293,MC_SC_17_s03L_185,7,6,4,False,False,True,False,False,40,2,13,4,43,0,19,2,2,1,3,3,1,1175.0
295,MC_SC_17_s03L_186,7,4,2,False,False,True,False,False,25,8,9,7,48,0,10,2,0,14,0,3,0,1543.0
296,MC_SC_17_s03L_187,7,5,3,False,False,True,False,False,66,14,10,14,27,0,0,1,0,118,2,0,3,2870.0
297,MC_SC_17_s03L_188,7,4,2,False,False,True,False,False,3,2,2,4,6,0,8,0,0,28,0,0,0,1396.0
298,MC_SC_17_s03L_189,7,3,1,False,False,False,True,False,0,2,12,0,2,0,0,0,0,7,3,0,0,1857.0
299,MC_SC_17_s03L_190,7,3,2,False,False,True,False,False,56,7,9,10,28,0,6,3,0,7,2,3,7,1194.0
300,MC_SC_17_s03L_191,7,4,3,False,False,True,False,False,1,12,37,0,16,0,11,0,4,57,2,0,4,2458.0
301,MC_SC_17_s03L_192,7,6,2,False,False,True,False,False,63,9,19,20,78,1,7,0,0,64,7,3,4,2878.0
302,MC_SC_17_s03L_193,7,2,2,False,False,False,True,False,0,2,9,0,0,0,3,2,0,1,0,5,2,770.0
304,MC_SC_17_s03L_194,7,3,2,False,False,False,True,False,0,7,19,0,0,3,2,1,0,26,1,2,1,2238.0
306,MC_SC_17_s03L_195,7,2,2,False,False,True,False,False,39,2,11,13,32,0,9,0,0,4,2,5,3,1596.0
