Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp_b,dtom_b,slc17a6_b,slc32a1_b,slc5a7_b,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3
175,MC_SC_17_s03L_104,6,4,3,False,False,True,False,False,2,33,3,27,76,4,4,31,75,83,43,13,14
176,MC_SC_17_s03L_105,6,6,5,False,False,True,False,False,48,40,29,7,32,18,36,30,70,94,64,29,14
177,MC_SC_17_s03L_106,6,4,2,False,False,True,False,False,4,62,59,2,82,6,73,34,34,60,63,5,13
178,MC_SC_17_s03L_107,6,5,2,False,False,False,False,False,34,16,14,2,24,6,2,27,0,22,14,21,8
180,MC_SC_17_s03L_108,6,4,2,False,False,True,False,False,12,153,55,3,35,0,42,7,50,50,19,20,9
181,MC_SC_17_s03L_109,6,3,2,False,False,True,False,False,44,22,19,1,8,6,66,16,33,2,35,38,55
182,MC_SC_17_s03L_110,6,5,3,False,False,False,True,False,3,12,28,0,35,0,1,5,6,25,4,23,46
184,MC_SC_17_s03L_111,6,5,4,False,False,True,False,False,101,18,31,3,94,25,67,12,34,63,50,54,52
187,MC_SC_17_s03L_112,6,1,1,False,False,False,True,False,1,19,1,1,0,4,0,3,3,2,1,0,0
189,MC_SC_17_s03L_113,6,2,1,False,False,True,False,False,1,3,13,0,3,0,0,2,1,0,0,0,3
190,MC_SC_17_s03L_114,6,5,4,False,False,False,True,False,3,83,40,11,0,65,0,17,24,75,25,0,15
191,MC_SC_17_s03L_115,6,4,3,False,False,True,False,False,0,16,3,14,0,12,0,10,29,0,6,44,2
192,MC_SC_17_s03L_116,6,3,2,False,False,False,True,False,1,17,0,10,4,2,59,13,26,0,13,2,24
194,MC_SC_17_s03L_117,6,3,2,False,False,True,False,False,76,23,23,11,16,1,66,18,29,5,10,50,27
195,MC_SC_17_s03L_118,6,5,4,False,False,False,True,False,2,26,14,64,33,4,37,19,43,18,11,30,37
197,MC_SC_17_s03L_119,6,4,3,False,False,False,True,False,1,12,3,5,2,26,75,39,1,10,31,40,14
198,MC_SC_17_s03L_120,6,4,4,False,False,True,False,False,84,19,17,40,47,5,12,48,36,15,9,88,7
