Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,phox2b,ralyl,slc17a6,tenm2,ebf3,pcp4,slc32a1,tshz2,alcam,celf2,meis2,rph3a,robo1,slc5a7,syt1,zfhx3,Area
68,MC_SC_17_s03L_68,3,3,2,24,40,2,23,0,0,1,0,1,0,0,0,0,0,0,1,1115.0
69,MC_SC_17_s03L_69,3,7,3,53,2,0,7,0,10,4,0,5,1,2,19,1,1,0,0,3607.0
70,MC_SC_17_s03L_70,3,4,3,79,0,30,33,0,11,4,1,0,0,3,7,1,1,0,4,3001.0
71,MC_SC_17_s03L_71,3,6,4,28,2,14,34,0,15,15,1,0,0,1,14,4,2,2,0,5317.0
72,MC_SC_17_s03L_72,3,9,4,0,3,9,7,0,6,45,0,0,1,0,21,3,4,0,0,2567.0
73,MC_SC_17_s03L_73,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,621.0
74,MC_SC_17_s03L_74,3,4,3,57,1,15,11,0,0,0,0,0,1,0,1,0,0,0,0,2503.0
75,MC_SC_17_s03L_75,3,8,5,0,7,2,28,0,33,91,1,0,2,0,47,0,7,4,0,6229.0
76,MC_SC_17_s03L_76,3,1,1,0,0,0,0,0,2,1,0,0,0,2,9,1,1,0,0,701.0
77,MC_SC_17_s03L_77,3,7,5,0,0,0,24,0,1,0,0,0,0,0,9,0,0,9,0,1624.0
78,MC_SC_17_s03L_78,3,5,4,2,0,0,6,0,15,6,0,0,0,0,2,0,0,0,0,1117.0
79,MC_SC_17_s03L_79,3,5,4,0,5,0,12,0,19,4,4,0,2,0,6,4,3,0,1,5129.0
80,MC_SC_17_s03L_80,3,8,6,0,4,0,22,0,5,9,4,11,0,0,9,0,0,1,2,947.0
81,MC_SC_17_s03L_81,3,7,5,2,0,0,14,0,7,20,0,0,1,0,15,0,0,1,0,1493.0
82,MC_SC_17_s03L_82,3,4,4,0,1,0,1,0,5,20,0,1,1,1,29,0,0,0,0,1566.0
83,MC_SC_17_s03L_83,3,4,3,4,0,3,6,1,23,52,0,8,1,6,77,3,2,1,2,3183.0
84,MC_SC_17_s03L_84,3,4,3,54,2,1,15,0,19,19,1,1,1,2,48,2,0,0,5,1969.0
85,MC_SC_17_s03L_85,3,6,5,2,4,1,10,0,30,45,1,2,1,4,47,4,3,0,0,1748.0
86,MC_SC_17_s03L_86,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.0
87,MC_SC_17_s03L_87,3,5,4,2,2,0,17,4,2,0,1,3,0,1,3,0,0,0,0,1550.0
88,MC_SC_17_s03L_88,3,4,3,0,0,0,7,3,3,0,0,1,0,0,0,0,0,0,0,591.0
89,MC_SC_17_s03L_89,3,3,2,1,0,0,4,0,20,4,3,5,0,2,0,0,0,0,0,1518.0
90,MC_SC_17_s03L_90,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,213.0
91,MC_SC_17_s03L_91,3,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,715.0
92,MC_SC_17_s03L_92,3,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,250.0
93,MC_SC_17_s03L_93,3,4,3,41,0,3,12,3,24,1,0,5,0,3,29,2,0,0,0,770.0
