Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,phox2b,ralyl,slc17a6,tenm2,ebf3,pcp4,slc32a1,tshz2,alcam,celf2,meis2,rph3a,robo1,slc5a7,syt1,zfhx3
156,MC_SC_17_s03L_156,3,5,4,0,28,0,48,5,134,134,30,34,32,50,89,66,7,25,0
157,MC_SC_17_s03L_157,4,6,5,0,2,39,88,3,43,0,1,1,11,40,13,13,0,77,35
158,MC_SC_17_s03L_158,4,5,3,0,6,21,35,14,64,13,6,4,15,38,16,1,0,0,0
159,MC_SC_17_s03L_159,4,5,3,0,1,0,49,8,37,53,1,0,7,0,21,2,0,3,1
160,MC_SC_17_s03L_160,4,2,2,5,0,0,1,0,3,0,0,5,19,4,1,0,0,1,0
161,MC_SC_17_s03L_161,4,7,3,6,8,2,29,31,105,13,7,2,10,20,80,12,16,48,7
162,MC_SC_17_s03L_162,4,4,3,130,23,45,109,27,16,76,3,0,11,7,12,34,13,3,27
163,MC_SC_17_s03L_163,4,4,3,88,1,0,33,8,32,7,0,6,10,26,8,32,13,10,5
164,MC_SC_17_s03L_164,4,9,5,3,4,0,34,45,74,75,8,4,8,33,14,35,20,4,7
165,MC_SC_17_s03L_165,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,MC_SC_17_s03L_166,4,5,3,0,0,7,47,1,32,12,5,3,15,2,15,5,1,27,5
167,MC_SC_17_s03L_167,4,3,2,17,1,0,7,0,4,19,4,0,0,4,6,2,3,0,5
168,MC_SC_17_s03L_168,4,3,2,39,0,0,1,0,8,7,0,0,3,3,15,15,18,6,3
169,MC_SC_17_s03L_169,4,6,4,0,10,0,18,39,48,39,6,15,18,36,15,27,3,8,4
170,MC_SC_17_s03L_170,4,2,1,0,6,0,1,0,3,5,2,2,1,6,4,0,0,0,0
171,MC_SC_17_s03L_171,4,8,4,113,11,36,35,7,16,9,10,1,15,20,8,40,12,4,23
172,MC_SC_17_s03L_172,4,8,4,221,9,77,85,7,130,90,13,8,51,99,244,116,109,7,64
173,MC_SC_17_s03L_173,4,6,4,0,2,89,68,1,8,47,3,0,32,6,83,15,10,28,20
174,MC_SC_17_s03L_174,4,9,6,1,3,0,20,40,0,52,37,4,6,8,12,8,2,7,0
175,MC_SC_17_s03L_175,4,8,4,0,10,1,29,32,90,158,29,16,37,51,106,24,31,8,1
176,MC_SC_17_s03L_176,4,6,4,0,18,4,40,26,0,56,2,3,8,6,23,0,0,4,0
