Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,rph3a,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,robo1,syt1,zfhx3,Area
33,MC_SC_17_s03L_28,4,6,3,False,False,True,False,True,False,26.7213091076083,49.55299858932618,148.1510518678329,58.811613480668235,27.827404194987427,93.2073326988184,84.3664188909429,113.22479173818267,122.10652390337371,62.010960482345865,54.961041017059955,67.88077858308566,1915.0
34,MC_SC_17_s03L_29,4,7,3,False,False,False,True,True,False,30.56817253149952,13.050934850600314,58.67124928784291,57.25126623234093,3.8366031923452755,84.8223453558763,17.727420873673164,45.412091167781796,24.84198814297629,31.495442401390044,28.43813531772475,26.107245373396946,1882.0
35,MC_SC_17_s03L_30,4,4,3,False,False,False,True,True,False,96.47874940263735,60.214231337524176,126.79269787526107,93.30434553522414,57.94869085368052,46.1663267338943,40.13134601637498,104.2870998253145,55.683523538710354,73.17075997013374,35.50222502425339,60.73533297600865,1369.0
36,MC_SC_17_s03L_31,4,3,2,False,False,True,False,False,False,35.05351906490786,43.36451905789191,96.59066355154157,75.81597441359621,41.08737209293751,142.03661201829294,42.397152316624094,85.3364170492546,111.12622508490175,118.7575058047846,72.65331306027224,83.19077699591682,907.0
37,MC_SC_17_s03L_32,4,6,4,False,False,True,False,True,False,42.04265155581152,18.550104477328027,67.21684973475055,56.20857082653399,19.313373555582647,105.67966419450433,21.04922193369561,70.54819021106663,31.23639205887201,48.37246851602148,44.06055134825729,50.57464496980675,2414.0
38,MC_SC_17_s03L_33,4,7,4,False,False,False,False,True,True,83.14376051601958,42.44795401585268,165.17467829622015,93.68045350850154,44.220547685011134,79.71494920343983,11.500695532124467,73.2644947245303,48.94041860587718,72.30596385593402,47.931639207237836,57.87309363847809,3179.0
39,MC_SC_17_s03L_34,4,6,4,False,False,False,True,True,False,80.38289536428023,17.247242131179693,88.3661623269783,82.2893373225576,8.367908031059851,68.33368287801666,11.631742137664908,36.654307521484455,21.533256652369896,51.037183139178886,45.00084199967922,36.4371552341894,2611.0
40,MC_SC_17_s03L_35,4,4,3,False,True,True,False,True,False,80.63718805413943,60.50263393391739,120.26544156342294,100.15704754508293,68.16588981719876,140.2279351809392,67.53697242958796,106.34385276339388,86.37275280268538,133.31611727093838,110.17460701980811,112.48811677528317,1444.0
41,MC_SC_17_s03L_36,4,3,2,False,False,False,True,True,False,110.27537330112004,80.79640433225113,140.48185316512652,150.8829927762169,105.88066285916379,153.62647178398905,71.28793853224252,146.30152512205933,109.59144556542762,128.6199114476524,103.08007473848818,112.50562715220381,1641.0
42,MC_SC_17_s03L_37,4,4,3,False,False,True,False,True,False,29.022923304393938,55.26107378221512,116.15213527756816,57.57433029721763,39.9179162611959,113.90457269254951,55.158671388226786,75.6890077105179,89.26467245228697,90.99565817717743,35.53701463253669,61.51547101354536,1137.0
44,MC_SC_17_s03L_38,4,3,2,False,False,False,True,True,False,85.40740601022128,49.31210293081265,75.0106727136908,65.40270335484963,49.58455020060674,114.55373379624464,28.233746515246835,51.13170368392894,38.29532517641051,116.88413405484073,35.646024240017944,65.67848095866003,1174.0
45,MC_SC_17_s03L_39,4,9,3,False,False,False,True,True,False,87.86977734499726,66.84500154508905,77.75760052086859,87.5113144874989,11.840193769221447,97.3195794847172,30.17063728967166,46.260527410197355,26.102331455695705,43.96514816483141,50.652266497332604,105.11635003565256,2452.0
48,MC_SC_17_s03L_40,5,3,2,False,False,False,True,True,False,81.72856414869773,34.740720442693835,78.24459736957309,82.3900707124486,78.88137069372023,93.46056806342406,49.7663753292827,133.41117375361534,81.36395859252696,86.39700522369242,43.32891197225402,108.10611011865859,1556.0
